2025-07-13 05:23:50.773 INFO: ===========VERIFYING SETTINGS===========
2025-07-13 05:23:50.773 INFO: MACE version: 0.3.13
2025-07-13 05:23:50.868 INFO: CUDA version: 12.4, CUDA device: 0
2025-07-13 05:23:51.043 INFO: ===========LOADING INPUT DATA===========
2025-07-13 05:23:51.043 INFO: Using heads: ['Default']
2025-07-13 05:23:51.043 INFO: Using the key specifications to parse data:
2025-07-13 05:23:51.044 INFO: Default: KeySpecification(info_keys={'energy': 'None', 'stress': 'None', 'virials': 'REF_virials', 'dipole': 'dipole', 'polarizability': 'susceptibility_tensor', 'head': 'head'}, arrays_keys={'forces': 'None', 'dipole_deriv': 'dipole_deriv', 'polarizability_deriv': 'raman_tensor'})
2025-07-13 05:23:51.044 INFO: =============    Processing head Default     ===========
2025-07-13 05:23:51.230 INFO: Training set 1/1 [energy: 0, stress: 0, virials: 0, dipole components: 0, polarizability: 240, head: 240, forces: 0, dipole_deriv: 0, polarizability_deriv: 240]
2025-07-13 05:23:51.231 INFO: Total Training set [energy: 0, stress: 0, virials: 0, dipole components: 0, polarizability: 240, head: 240, forces: 0, dipole_deriv: 0, polarizability_deriv: 240]
2025-07-13 05:23:51.231 INFO: No validation set provided, splitting training data instead.
2025-07-13 05:23:51.233 INFO: Using random 5% of training set for validation with indices saved in: ./valid_indices_123.txt
2025-07-13 05:23:51.234 INFO: Random Split Training set [energy: 0, stress: 0, virials: 0, dipole components: 0, polarizability: 228, head: 228, forces: 0, dipole_deriv: 0, polarizability_deriv: 228]
2025-07-13 05:23:51.234 INFO: Random Split Validation set [energy: 0, stress: 0, virials: 0, dipole components: 0, polarizability: 12, head: 12, forces: 0, dipole_deriv: 0, polarizability_deriv: 12]
2025-07-13 05:23:51.395 INFO: Test set 1/1 [energy: 0, stress: 0, virials: 0, dipole components: 0, polarizability: 240, head: 240, forces: 0, dipole_deriv: 0, polarizability_deriv: 240]
2025-07-13 05:23:51.396 INFO: Total Test set [energy: 0, stress: 0, virials: 0, dipole components: 0, polarizability: 240, head: 240, forces: 0, dipole_deriv: 0, polarizability_deriv: 240]
2025-07-13 05:23:51.396 INFO: Total number of configurations: train=228, valid=12, tests=[Default_Default: 240],
2025-07-13 05:23:51.397 INFO: Atomic Numbers used: [16, 34, 42, 74]
2025-07-13 05:23:51.397 INFO: Processing datasets for head 'Default'
2025-07-13 05:23:51.574 INFO: Combining 1 list datasets for head 'Default'
2025-07-13 05:23:51.584 INFO: Head 'Default' training dataset size: 228
2025-07-13 05:23:51.584 INFO: Computing average number of neighbors
2025-07-13 05:23:51.750 INFO: Average number of neighbors: 18.983838383838386
2025-07-13 05:23:51.750 INFO: During training the following quantities will be reported: dipoles, polarizability, dipole_deriv, polarizability_deriv
2025-07-13 05:23:51.750 INFO: ===========MODEL DETAILS===========
2025-07-13 05:23:51.751 INFO: Building model
2025-07-13 05:23:51.751 INFO: Message passing with 128 channels and max_L=2 (128x0e + 128x1o + 128x2e)
2025-07-13 05:23:51.751 INFO: 2 layers, each with correlation order: 3 (body order: 4) and spherical harmonics up to: l=3
2025-07-13 05:23:51.751 INFO: 8 radial and 5 basis functions
2025-07-13 05:23:51.751 INFO: Radial cutoff: 5.0 A (total receptive field for each atom: 10.0 A)
2025-07-13 05:23:51.751 INFO: Distance transform for radial basis functions: None
2025-07-13 05:23:51.751 INFO: Hidden irreps: 128x0e + 128x1o + 128x2e
2025-07-13 05:23:54.068 INFO: Total number of parameters: 1104272
2025-07-13 05:23:54.068 INFO: 
2025-07-13 05:23:54.068 INFO: ===========OPTIMIZER INFORMATION===========
2025-07-13 05:23:54.068 INFO: Using ADAM as parameter optimizer
2025-07-13 05:23:54.068 INFO: Batch size: 10
2025-07-13 05:23:54.068 INFO: Number of gradient updates: 45600
2025-07-13 05:23:54.068 INFO: Learning rate: 0.01, weight decay: 5e-07
2025-07-13 05:23:54.069 INFO: DipolePolarizabilityDerivLoss(dipole_weight=0.000, polarizability_weight=1.000, dipole_deriv_weight=0.000, polarizability_deriv_weight=0.000)
2025-07-13 05:23:54.072 WARNING: Cannot find checkpoint with tag 'MoWSSe_sus_ndata_all_subset_240_run-123' in './checkpoints'
2025-07-13 05:23:54.072 INFO: Using gradient clipping with tolerance=10.000
2025-07-13 05:23:54.072 INFO: 
2025-07-13 05:23:54.072 INFO: ===========TRAINING===========
2025-07-13 05:23:54.072 INFO: Started training, reporting errors on validation set
2025-07-13 05:23:54.072 INFO: Loss metrics on validation set
2025-07-13 05:23:56.465 INFO: Initial: head: Default, loss=26.3608, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=   11.77, RMSE_ALPHA_DERIV=   14.44
2025-07-13 05:24:45.150 INFO: Epoch 0: head: Default, loss=5.0583, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.05 mDebye / A, RMSE_ALPHA_per_atom=    4.61, RMSE_ALPHA_DERIV=   17.76
2025-07-13 05:25:28.897 INFO: Epoch 1: head: Default, loss=0.5665, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.02 mDebye / A, RMSE_ALPHA_per_atom=    2.19, RMSE_ALPHA_DERIV=   20.45
2025-07-13 05:26:12.588 INFO: Epoch 2: head: Default, loss=0.5959, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    1.46, RMSE_ALPHA_DERIV=   19.03
2025-07-13 05:26:56.236 INFO: Epoch 3: head: Default, loss=0.6079, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    1.32, RMSE_ALPHA_DERIV=   19.50
2025-07-13 05:27:39.898 INFO: Epoch 4: head: Default, loss=0.4860, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    1.15, RMSE_ALPHA_DERIV=   19.97
2025-07-13 05:28:23.613 INFO: Epoch 5: head: Default, loss=0.1913, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    1.00, RMSE_ALPHA_DERIV=   20.44
2025-07-13 05:29:07.343 INFO: Epoch 6: head: Default, loss=0.3329, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    1.04, RMSE_ALPHA_DERIV=   19.75
2025-07-13 05:29:51.014 INFO: Epoch 7: head: Default, loss=0.4437, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    1.12, RMSE_ALPHA_DERIV=   19.47
2025-07-13 05:30:34.688 INFO: Epoch 8: head: Default, loss=0.4457, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    1.13, RMSE_ALPHA_DERIV=   19.10
2025-07-13 05:31:18.374 INFO: Epoch 9: head: Default, loss=0.4195, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    1.08, RMSE_ALPHA_DERIV=   18.61
2025-07-13 05:32:02.045 INFO: Epoch 10: head: Default, loss=0.1886, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    0.80, RMSE_ALPHA_DERIV=   18.52
2025-07-13 05:32:45.759 INFO: Epoch 11: head: Default, loss=0.1637, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    0.73, RMSE_ALPHA_DERIV=   17.05
2025-07-13 05:33:29.484 INFO: Epoch 12: head: Default, loss=0.1045, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.02 mDebye / A, RMSE_ALPHA_per_atom=    0.52, RMSE_ALPHA_DERIV=   14.21
2025-07-13 05:34:13.197 INFO: Epoch 13: head: Default, loss=0.0677, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    0.41, RMSE_ALPHA_DERIV=   13.84
2025-07-13 05:34:56.919 INFO: Epoch 14: head: Default, loss=0.0129, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    0.30, RMSE_ALPHA_DERIV=   12.74
2025-07-13 05:35:40.638 INFO: Epoch 15: head: Default, loss=0.0380, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    0.31, RMSE_ALPHA_DERIV=   12.19
2025-07-13 05:36:24.318 INFO: Epoch 16: head: Default, loss=0.0188, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    0.28, RMSE_ALPHA_DERIV=   12.08
2025-07-13 05:37:07.990 INFO: Epoch 17: head: Default, loss=0.0591, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.38, RMSE_ALPHA_DERIV=   11.54
