2025-07-12 23:00:43.244 INFO: ===========VERIFYING SETTINGS===========
2025-07-12 23:00:43.245 INFO: MACE version: 0.3.13
2025-07-12 23:00:43.341 INFO: CUDA version: 12.4, CUDA device: 0
2025-07-12 23:00:43.565 INFO: ===========LOADING INPUT DATA===========
2025-07-12 23:00:43.565 INFO: Using heads: ['Default']
2025-07-12 23:00:43.565 INFO: Using the key specifications to parse data:
2025-07-12 23:00:43.565 INFO: Default: KeySpecification(info_keys={'energy': 'None', 'stress': 'None', 'virials': 'REF_virials', 'dipole': 'dipole', 'polarizability': 'susceptibility_tensor', 'head': 'head'}, arrays_keys={'forces': 'None', 'dipole_deriv': 'dipole_deriv', 'polarizability_deriv': 'raman_tensor'})
2025-07-12 23:00:43.565 INFO: =============    Processing head Default     ===========
2025-07-12 23:00:43.726 INFO: Training set 1/1 [energy: 0, stress: 0, virials: 0, dipole components: 0, polarizability: 200, head: 200, forces: 0, dipole_deriv: 0, polarizability_deriv: 200]
2025-07-12 23:00:43.727 INFO: Total Training set [energy: 0, stress: 0, virials: 0, dipole components: 0, polarizability: 200, head: 200, forces: 0, dipole_deriv: 0, polarizability_deriv: 200]
2025-07-12 23:00:43.727 INFO: No validation set provided, splitting training data instead.
2025-07-12 23:00:43.729 INFO: Using random 5% of training set for validation with indices saved in: ./valid_indices_123.txt
2025-07-12 23:00:43.730 INFO: Random Split Training set [energy: 0, stress: 0, virials: 0, dipole components: 0, polarizability: 190, head: 190, forces: 0, dipole_deriv: 0, polarizability_deriv: 190]
2025-07-12 23:00:43.730 INFO: Random Split Validation set [energy: 0, stress: 0, virials: 0, dipole components: 0, polarizability: 10, head: 10, forces: 0, dipole_deriv: 0, polarizability_deriv: 10]
2025-07-12 23:00:43.865 INFO: Test set 1/1 [energy: 0, stress: 0, virials: 0, dipole components: 0, polarizability: 200, head: 200, forces: 0, dipole_deriv: 0, polarizability_deriv: 200]
2025-07-12 23:00:43.866 INFO: Total Test set [energy: 0, stress: 0, virials: 0, dipole components: 0, polarizability: 200, head: 200, forces: 0, dipole_deriv: 0, polarizability_deriv: 200]
2025-07-12 23:00:43.866 INFO: Total number of configurations: train=190, valid=10, tests=[Default_Default: 200],
2025-07-12 23:00:43.867 INFO: Atomic Numbers used: [16, 34, 42, 74]
2025-07-12 23:00:43.867 INFO: Processing datasets for head 'Default'
2025-07-12 23:00:44.016 INFO: Combining 1 list datasets for head 'Default'
2025-07-12 23:00:44.024 INFO: Head 'Default' training dataset size: 190
2025-07-12 23:00:44.025 INFO: Computing average number of neighbors
2025-07-12 23:00:44.191 INFO: Average number of neighbors: 18.97270955165692
2025-07-12 23:00:44.191 INFO: During training the following quantities will be reported: dipoles, polarizability, dipole_deriv, polarizability_deriv
2025-07-12 23:00:44.191 INFO: ===========MODEL DETAILS===========
2025-07-12 23:00:44.192 INFO: Building model
2025-07-12 23:00:44.192 INFO: Message passing with 128 channels and max_L=2 (128x0e + 128x1o + 128x2e)
2025-07-12 23:00:44.192 INFO: 2 layers, each with correlation order: 3 (body order: 4) and spherical harmonics up to: l=3
2025-07-12 23:00:44.192 INFO: 8 radial and 5 basis functions
2025-07-12 23:00:44.192 INFO: Radial cutoff: 5.0 A (total receptive field for each atom: 10.0 A)
2025-07-12 23:00:44.192 INFO: Distance transform for radial basis functions: None
2025-07-12 23:00:44.192 INFO: Hidden irreps: 128x0e + 128x1o + 128x2e
2025-07-12 23:00:46.512 INFO: Total number of parameters: 1104272
2025-07-12 23:00:46.512 INFO: 
2025-07-12 23:00:46.512 INFO: ===========OPTIMIZER INFORMATION===========
2025-07-12 23:00:46.512 INFO: Using ADAM as parameter optimizer
2025-07-12 23:00:46.512 INFO: Batch size: 10
2025-07-12 23:00:46.512 INFO: Number of gradient updates: 38000
2025-07-12 23:00:46.512 INFO: Learning rate: 0.01, weight decay: 5e-07
2025-07-12 23:00:46.512 INFO: DipolePolarizabilityDerivLoss(dipole_weight=0.000, polarizability_weight=1.000, dipole_deriv_weight=0.000, polarizability_deriv_weight=0.000)
2025-07-12 23:00:46.517 WARNING: Cannot find checkpoint with tag 'MoWSSe_sus_ndata_all_subset_200_run-123' in './checkpoints'
2025-07-12 23:00:46.517 INFO: Using gradient clipping with tolerance=10.000
2025-07-12 23:00:46.517 INFO: 
2025-07-12 23:00:46.517 INFO: ===========TRAINING===========
2025-07-12 23:00:46.517 INFO: Started training, reporting errors on validation set
2025-07-12 23:00:46.517 INFO: Loss metrics on validation set
2025-07-12 23:00:47.955 INFO: Initial: head: Default, loss=12.6104, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=   11.23, RMSE_ALPHA_DERIV=   11.69
2025-07-12 23:01:30.855 INFO: Epoch 0: head: Default, loss=7.2310, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.03 mDebye / A, RMSE_ALPHA_per_atom=    8.50, RMSE_ALPHA_DERIV=   12.35
2025-07-12 23:02:08.498 INFO: Epoch 1: head: Default, loss=0.4801, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.02 mDebye / A, RMSE_ALPHA_per_atom=    2.19, RMSE_ALPHA_DERIV=   15.39
2025-07-12 23:02:46.109 INFO: Epoch 2: head: Default, loss=0.1296, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    1.14, RMSE_ALPHA_DERIV=   16.51
2025-07-12 23:03:23.733 INFO: Epoch 3: head: Default, loss=0.1407, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    1.19, RMSE_ALPHA_DERIV=   16.08
2025-07-12 23:04:01.317 INFO: Epoch 4: head: Default, loss=0.0759, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.02 mDebye / A, RMSE_ALPHA_per_atom=    0.87, RMSE_ALPHA_DERIV=   16.72
2025-07-12 23:04:38.936 INFO: Epoch 5: head: Default, loss=0.0801, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    0.90, RMSE_ALPHA_DERIV=   16.71
2025-07-12 23:05:16.531 INFO: Epoch 6: head: Default, loss=0.0659, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    0.81, RMSE_ALPHA_DERIV=   16.72
2025-07-12 23:05:54.155 INFO: Epoch 7: head: Default, loss=0.0610, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    0.78, RMSE_ALPHA_DERIV=   16.56
2025-07-12 23:06:31.786 INFO: Epoch 8: head: Default, loss=0.0576, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    0.76, RMSE_ALPHA_DERIV=   16.22
2025-07-12 23:07:09.411 INFO: Epoch 9: head: Default, loss=0.0568, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    0.75, RMSE_ALPHA_DERIV=   15.80
2025-07-12 23:07:47.044 INFO: Epoch 10: head: Default, loss=0.0546, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    0.74, RMSE_ALPHA_DERIV=   15.47
2025-07-12 23:08:24.676 INFO: Epoch 11: head: Default, loss=0.0547, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    0.74, RMSE_ALPHA_DERIV=   15.01
2025-07-12 23:09:02.264 INFO: Epoch 12: head: Default, loss=0.0602, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.78, RMSE_ALPHA_DERIV=   14.29
2025-07-12 23:09:39.835 INFO: Epoch 13: head: Default, loss=0.0440, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    0.66, RMSE_ALPHA_DERIV=   12.39
2025-07-12 23:10:17.471 INFO: Epoch 14: head: Default, loss=0.0135, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    0.37, RMSE_ALPHA_DERIV=   12.85
2025-07-12 23:10:55.105 INFO: Epoch 15: head: Default, loss=0.0181, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    0.43, RMSE_ALPHA_DERIV=   11.37
2025-07-12 23:11:32.690 INFO: Epoch 16: head: Default, loss=0.0075, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.27, RMSE_ALPHA_DERIV=   10.77
2025-07-12 23:12:10.301 INFO: Epoch 17: head: Default, loss=0.0072, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.27, RMSE_ALPHA_DERIV=    9.83
