2025-07-13 20:36:12.942 INFO: ===========VERIFYING SETTINGS===========
2025-07-13 20:36:12.942 INFO: MACE version: 0.3.13
2025-07-13 20:36:13.038 INFO: CUDA version: 12.4, CUDA device: 0
2025-07-13 20:36:13.264 INFO: ===========LOADING INPUT DATA===========
2025-07-13 20:36:13.265 INFO: Using heads: ['Default']
2025-07-13 20:36:13.266 INFO: Using the key specifications to parse data:
2025-07-13 20:36:13.266 INFO: Default: KeySpecification(info_keys={'energy': 'None', 'stress': 'None', 'virials': 'REF_virials', 'dipole': 'dipole', 'polarizability': 'susceptibility_tensor', 'head': 'head'}, arrays_keys={'forces': 'None', 'dipole_deriv': 'dipole_deriv', 'polarizability_deriv': 'raman_tensor'})
2025-07-13 20:36:13.266 INFO: =============    Processing head Default     ===========
2025-07-13 20:36:13.513 INFO: Training set 1/1 [energy: 0, stress: 0, virials: 0, dipole components: 0, polarizability: 320, head: 320, forces: 0, dipole_deriv: 0, polarizability_deriv: 320]
2025-07-13 20:36:13.515 INFO: Total Training set [energy: 0, stress: 0, virials: 0, dipole components: 0, polarizability: 320, head: 320, forces: 0, dipole_deriv: 0, polarizability_deriv: 320]
2025-07-13 20:36:13.515 INFO: No validation set provided, splitting training data instead.
2025-07-13 20:36:13.516 INFO: Using random 5% of training set for validation with indices saved in: ./valid_indices_123.txt
2025-07-13 20:36:13.518 INFO: Random Split Training set [energy: 0, stress: 0, virials: 0, dipole components: 0, polarizability: 304, head: 304, forces: 0, dipole_deriv: 0, polarizability_deriv: 304]
2025-07-13 20:36:13.518 INFO: Random Split Validation set [energy: 0, stress: 0, virials: 0, dipole components: 0, polarizability: 16, head: 16, forces: 0, dipole_deriv: 0, polarizability_deriv: 16]
2025-07-13 20:36:13.728 INFO: Test set 1/1 [energy: 0, stress: 0, virials: 0, dipole components: 0, polarizability: 320, head: 320, forces: 0, dipole_deriv: 0, polarizability_deriv: 320]
2025-07-13 20:36:13.730 INFO: Total Test set [energy: 0, stress: 0, virials: 0, dipole components: 0, polarizability: 320, head: 320, forces: 0, dipole_deriv: 0, polarizability_deriv: 320]
2025-07-13 20:36:13.730 INFO: Total number of configurations: train=304, valid=16, tests=[Default_Default: 320],
2025-07-13 20:36:13.731 INFO: Atomic Numbers used: [16, 34, 42, 74]
2025-07-13 20:36:13.732 INFO: Processing datasets for head 'Default'
2025-07-13 20:36:13.974 INFO: Combining 1 list datasets for head 'Default'
2025-07-13 20:36:13.987 INFO: Head 'Default' training dataset size: 304
2025-07-13 20:36:13.987 INFO: Computing average number of neighbors
2025-07-13 20:36:14.182 INFO: Average number of neighbors: 19.025185185185187
2025-07-13 20:36:14.182 INFO: During training the following quantities will be reported: dipoles, polarizability, dipole_deriv, polarizability_deriv
2025-07-13 20:36:14.182 INFO: ===========MODEL DETAILS===========
2025-07-13 20:36:14.184 INFO: Building model
2025-07-13 20:36:14.184 INFO: Message passing with 128 channels and max_L=2 (128x0e + 128x1o + 128x2e)
2025-07-13 20:36:14.184 INFO: 2 layers, each with correlation order: 3 (body order: 4) and spherical harmonics up to: l=3
2025-07-13 20:36:14.184 INFO: 8 radial and 5 basis functions
2025-07-13 20:36:14.184 INFO: Radial cutoff: 5.0 A (total receptive field for each atom: 10.0 A)
2025-07-13 20:36:14.184 INFO: Distance transform for radial basis functions: None
2025-07-13 20:36:14.184 INFO: Hidden irreps: 128x0e + 128x1o + 128x2e
2025-07-13 20:36:16.507 INFO: Total number of parameters: 1104272
2025-07-13 20:36:16.507 INFO: 
2025-07-13 20:36:16.507 INFO: ===========OPTIMIZER INFORMATION===========
2025-07-13 20:36:16.508 INFO: Using ADAM as parameter optimizer
2025-07-13 20:36:16.508 INFO: Batch size: 10
2025-07-13 20:36:16.508 INFO: Number of gradient updates: 60800
2025-07-13 20:36:16.508 INFO: Learning rate: 0.01, weight decay: 5e-07
2025-07-13 20:36:16.508 INFO: DipolePolarizabilityDerivLoss(dipole_weight=0.000, polarizability_weight=1.000, dipole_deriv_weight=0.000, polarizability_deriv_weight=0.000)
2025-07-13 20:36:16.514 WARNING: Cannot find checkpoint with tag 'MoWSSe_sus_ndata_all_subset_320_run-123' in './checkpoints'
2025-07-13 20:36:16.514 INFO: Using gradient clipping with tolerance=10.000
2025-07-13 20:36:16.514 INFO: 
2025-07-13 20:36:16.514 INFO: ===========TRAINING===========
2025-07-13 20:36:16.514 INFO: Started training, reporting errors on validation set
2025-07-13 20:36:16.514 INFO: Loss metrics on validation set
2025-07-13 20:36:19.064 INFO: Initial: head: Default, loss=16.4558, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=   11.39, RMSE_ALPHA_DERIV=   12.28
2025-07-13 20:37:24.474 INFO: Epoch 0: head: Default, loss=7.5753, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.05 mDebye / A, RMSE_ALPHA_per_atom=    7.78, RMSE_ALPHA_DERIV=   25.63
2025-07-13 20:38:24.318 INFO: Epoch 1: head: Default, loss=0.1518, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    1.14, RMSE_ALPHA_DERIV=   18.05
2025-07-13 20:39:23.913 INFO: Epoch 2: head: Default, loss=0.1247, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    0.97, RMSE_ALPHA_DERIV=   17.86
2025-07-13 20:40:23.528 INFO: Epoch 3: head: Default, loss=0.0773, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    0.76, RMSE_ALPHA_DERIV=   18.75
2025-07-13 20:41:23.133 INFO: Epoch 4: head: Default, loss=0.0684, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    0.71, RMSE_ALPHA_DERIV=   18.41
2025-07-13 20:42:22.610 INFO: Epoch 5: head: Default, loss=0.0662, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    0.68, RMSE_ALPHA_DERIV=   17.65
2025-07-13 20:43:21.910 INFO: Epoch 6: head: Default, loss=0.0651, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    0.68, RMSE_ALPHA_DERIV=   17.04
2025-07-13 20:44:21.198 INFO: Epoch 7: head: Default, loss=0.0440, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    0.57, RMSE_ALPHA_DERIV=   15.77
2025-07-13 20:45:20.492 INFO: Epoch 8: head: Default, loss=0.0282, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.03 mDebye / A, RMSE_ALPHA_per_atom=    0.45, RMSE_ALPHA_DERIV=   12.65
2025-07-13 20:46:19.775 INFO: Epoch 9: head: Default, loss=0.0142, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.02 mDebye / A, RMSE_ALPHA_per_atom=    0.32, RMSE_ALPHA_DERIV=   12.01
2025-07-13 20:47:19.052 INFO: Epoch 10: head: Default, loss=0.0156, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    0.35, RMSE_ALPHA_DERIV=   10.75
2025-07-13 20:48:18.297 INFO: Epoch 11: head: Default, loss=0.0097, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    0.26, RMSE_ALPHA_DERIV=    9.99
2025-07-13 20:49:17.575 INFO: Epoch 12: head: Default, loss=0.0290, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.44, RMSE_ALPHA_DERIV=    9.65
2025-07-13 20:50:16.814 INFO: Epoch 13: head: Default, loss=0.0090, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.26, RMSE_ALPHA_DERIV=    9.58
2025-07-13 20:51:16.098 INFO: Epoch 14: head: Default, loss=0.0468, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.62, RMSE_ALPHA_DERIV=   10.77
2025-07-13 20:52:15.345 INFO: Epoch 15: head: Default, loss=0.0146, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.34, RMSE_ALPHA_DERIV=    9.99
2025-07-13 20:53:14.585 INFO: Epoch 16: head: Default, loss=0.0343, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.49, RMSE_ALPHA_DERIV=    9.64
2025-07-13 20:54:13.818 INFO: Epoch 17: head: Default, loss=0.0058, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.20, RMSE_ALPHA_DERIV=    9.87
