2025-07-12 00:44:06.278 INFO: ===========VERIFYING SETTINGS===========
2025-07-12 00:44:06.278 INFO: MACE version: 0.3.13
2025-07-12 00:44:06.374 INFO: CUDA version: 12.4, CUDA device: 0
2025-07-12 00:44:06.754 INFO: ===========LOADING INPUT DATA===========
2025-07-12 00:44:06.754 INFO: Using heads: ['Default']
2025-07-12 00:44:06.754 INFO: Using the key specifications to parse data:
2025-07-12 00:44:06.754 INFO: Default: KeySpecification(info_keys={'energy': 'None', 'stress': 'None', 'virials': 'REF_virials', 'dipole': 'dipole', 'polarizability': 'susceptibility_tensor', 'head': 'head'}, arrays_keys={'forces': 'None', 'dipole_deriv': 'dipole_deriv', 'polarizability_deriv': 'raman_tensor'})
2025-07-12 00:44:06.754 INFO: =============    Processing head Default     ===========
2025-07-12 00:44:06.940 INFO: Training set 1/1 [energy: 0, stress: 0, virials: 0, dipole components: 0, polarizability: 220, head: 220, forces: 0, dipole_deriv: 0, polarizability_deriv: 220]
2025-07-12 00:44:06.941 INFO: Total Training set [energy: 0, stress: 0, virials: 0, dipole components: 0, polarizability: 220, head: 220, forces: 0, dipole_deriv: 0, polarizability_deriv: 220]
2025-07-12 00:44:06.941 INFO: No validation set provided, splitting training data instead.
2025-07-12 00:44:06.943 INFO: Using random 5% of training set for validation with indices saved in: ./valid_indices_123.txt
2025-07-12 00:44:06.944 INFO: Random Split Training set [energy: 0, stress: 0, virials: 0, dipole components: 0, polarizability: 209, head: 209, forces: 0, dipole_deriv: 0, polarizability_deriv: 209]
2025-07-12 00:44:06.945 INFO: Random Split Validation set [energy: 0, stress: 0, virials: 0, dipole components: 0, polarizability: 11, head: 11, forces: 0, dipole_deriv: 0, polarizability_deriv: 11]
2025-07-12 00:44:07.094 INFO: Test set 1/1 [energy: 0, stress: 0, virials: 0, dipole components: 0, polarizability: 220, head: 220, forces: 0, dipole_deriv: 0, polarizability_deriv: 220]
2025-07-12 00:44:07.095 INFO: Total Test set [energy: 0, stress: 0, virials: 0, dipole components: 0, polarizability: 220, head: 220, forces: 0, dipole_deriv: 0, polarizability_deriv: 220]
2025-07-12 00:44:07.095 INFO: Total number of configurations: train=209, valid=11, tests=[Default_Default: 220],
2025-07-12 00:44:07.096 INFO: Atomic Numbers used: [16, 34, 42, 74]
2025-07-12 00:44:07.096 INFO: Processing datasets for head 'Default'
2025-07-12 00:44:07.370 INFO: Combining 1 list datasets for head 'Default'
2025-07-12 00:44:07.379 INFO: Head 'Default' training dataset size: 209
2025-07-12 00:44:07.379 INFO: Computing average number of neighbors
2025-07-12 00:44:07.662 INFO: Average number of neighbors: 18.966666666666665
2025-07-12 00:44:07.662 INFO: During training the following quantities will be reported: dipoles, polarizability, dipole_deriv, polarizability_deriv
2025-07-12 00:44:07.662 INFO: ===========MODEL DETAILS===========
2025-07-12 00:44:07.663 INFO: Building model
2025-07-12 00:44:07.663 INFO: Message passing with 128 channels and max_L=2 (128x0e + 128x1o + 128x2e)
2025-07-12 00:44:07.663 INFO: 2 layers, each with correlation order: 3 (body order: 4) and spherical harmonics up to: l=3
2025-07-12 00:44:07.663 INFO: 8 radial and 5 basis functions
2025-07-12 00:44:07.663 INFO: Radial cutoff: 5.0 A (total receptive field for each atom: 10.0 A)
2025-07-12 00:44:07.663 INFO: Distance transform for radial basis functions: None
2025-07-12 00:44:07.664 INFO: Hidden irreps: 128x0e + 128x1o + 128x2e
2025-07-12 00:44:10.584 INFO: Total number of parameters: 1104272
2025-07-12 00:44:10.584 INFO: 
2025-07-12 00:44:10.584 INFO: ===========OPTIMIZER INFORMATION===========
2025-07-12 00:44:10.584 INFO: Using ADAM as parameter optimizer
2025-07-12 00:44:10.584 INFO: Batch size: 10
2025-07-12 00:44:10.584 INFO: Number of gradient updates: 41800
2025-07-12 00:44:10.584 INFO: Learning rate: 0.01, weight decay: 5e-07
2025-07-12 00:44:10.585 INFO: DipolePolarizabilityDerivLoss(dipole_weight=0.000, polarizability_weight=10.000, dipole_deriv_weight=0.000, polarizability_deriv_weight=1.000)
2025-07-12 00:44:10.590 WARNING: Cannot find checkpoint with tag 'MoWSSe_susram_ndata_all_subset_220_weights_10_1_run-123' in './checkpoints'
2025-07-12 00:44:10.590 INFO: Using gradient clipping with tolerance=10.000
2025-07-12 00:44:10.590 INFO: 
2025-07-12 00:44:10.590 INFO: ===========TRAINING===========
2025-07-12 00:44:10.590 INFO: Started training, reporting errors on validation set
2025-07-12 00:44:10.590 INFO: Loss metrics on validation set
2025-07-12 00:44:15.491 INFO: Initial: head: Default, loss=370.7788, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=   11.54, RMSE_ALPHA_DERIV=   13.52
2025-07-12 00:45:01.575 INFO: Epoch 0: head: Default, loss=216.2346, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.05 mDebye / A, RMSE_ALPHA_per_atom=    7.39, RMSE_ALPHA_DERIV=   14.44
2025-07-12 00:45:41.359 INFO: Epoch 1: head: Default, loss=110.4845, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.10 mDebye / A, RMSE_ALPHA_per_atom=    2.92, RMSE_ALPHA_DERIV=   14.43
2025-07-12 00:46:21.093 INFO: Epoch 2: head: Default, loss=54.8995, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.26 mDebye / A, RMSE_ALPHA_per_atom=    1.64, RMSE_ALPHA_DERIV=    9.89
2025-07-12 00:47:00.839 INFO: Epoch 3: head: Default, loss=37.7372, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.22 mDebye / A, RMSE_ALPHA_per_atom=    1.20, RMSE_ALPHA_DERIV=    8.79
2025-07-12 00:47:40.575 INFO: Epoch 4: head: Default, loss=45.4131, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.17 mDebye / A, RMSE_ALPHA_per_atom=    1.67, RMSE_ALPHA_DERIV=    8.58
2025-07-12 00:48:20.294 INFO: Epoch 5: head: Default, loss=36.6743, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.13 mDebye / A, RMSE_ALPHA_per_atom=    1.52, RMSE_ALPHA_DERIV=    7.84
2025-07-12 00:49:00.071 INFO: Epoch 6: head: Default, loss=22.1641, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.09 mDebye / A, RMSE_ALPHA_per_atom=    0.80, RMSE_ALPHA_DERIV=    6.99
2025-07-12 00:49:39.842 INFO: Epoch 7: head: Default, loss=18.0141, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.06 mDebye / A, RMSE_ALPHA_per_atom=    0.59, RMSE_ALPHA_DERIV=    6.29
2025-07-12 00:50:19.626 INFO: Epoch 8: head: Default, loss=15.6047, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.05 mDebye / A, RMSE_ALPHA_per_atom=    1.10, RMSE_ALPHA_DERIV=    5.94
2025-07-12 00:50:59.409 INFO: Epoch 9: head: Default, loss=10.3728, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.04 mDebye / A, RMSE_ALPHA_per_atom=    0.48, RMSE_ALPHA_DERIV=    5.24
2025-07-12 00:51:39.189 INFO: Epoch 10: head: Default, loss=10.1269, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.03 mDebye / A, RMSE_ALPHA_per_atom=    0.41, RMSE_ALPHA_DERIV=    5.12
2025-07-12 00:52:18.971 INFO: Epoch 11: head: Default, loss=9.8886, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.02 mDebye / A, RMSE_ALPHA_per_atom=    0.36, RMSE_ALPHA_DERIV=    4.80
2025-07-12 00:52:58.758 INFO: Epoch 12: head: Default, loss=11.8116, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.02 mDebye / A, RMSE_ALPHA_per_atom=    0.50, RMSE_ALPHA_DERIV=    4.87
2025-07-12 00:53:38.495 INFO: Epoch 13: head: Default, loss=12.9133, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    0.39, RMSE_ALPHA_DERIV=    4.94
2025-07-12 00:54:18.223 INFO: Epoch 14: head: Default, loss=10.5637, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    0.41, RMSE_ALPHA_DERIV=    4.65
2025-07-12 00:54:57.964 INFO: Epoch 15: head: Default, loss=10.6130, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    0.21, RMSE_ALPHA_DERIV=    4.64
2025-07-12 00:55:37.697 INFO: Epoch 16: head: Default, loss=10.6592, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    0.34, RMSE_ALPHA_DERIV=    4.54
2025-07-12 00:56:17.444 INFO: Epoch 17: head: Default, loss=6.4540, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    0.25, RMSE_ALPHA_DERIV=    4.10
